,LSL,Target,USL,N,Mean,3Sigma,Cp,K,Cpk,Parameter,Info,Units
36,113.0,679.0,2377.0,11196,599.57713112,89.087454964,12.706615095,0.0701615449,11.815099349,RCLBX-LCA,VIA_via9_R_1x1132_,(ohm)
37,71.4,714.0,2380.0,11196,590.33941497,56.268847776,20.514015225,0.1071303691,18.316341203,RCLCX-TMA,VIA_tvia_R_1x476_,(ohm)
38,130.0,180.0,260.0,11196,186.93324044,18.577089004,3.4989335513,0.1066652376,3.1257189726999997,R-PP,RES_P+Poly_RS_5x50_,(ohm)
39,4320.0,4800.0,5280.0,11193,4820.082149600001,147.49755913,3.2542911410000004,0.041837811600000004,3.1181387214,R-PPSW,RES_P+Unsil_RS_5x50_,(ohm)
40,0.39799999999999996,0.478,0.605,11194,0.4610342371,0.0396687464,2.6091069028,0.1639204146,2.1814210176,VTHN33S,HV33_nts33_Vth_10x0.35_,(V)
41,5.0,5.75,6.95,11194,6.194091209600001,0.19468350469999998,5.0081284563,0.4554781637,2.7270353036,IONN33S,HV33_nts33_Ids_10x0.35_,(mA)
42,,,-8.83,11169,-11.51086643,0.49222442200000005,,,5.446431169299999,IOFN33S,HV33_nts33_Log10(Ioff)_10x0.35_,(log(A))
43,0.05,0.18,0.32299999999999995,11195,0.1452015382,0.0435930321,3.1312343588,0.2549337862,2.3329769283,VTHN33L,HV33_nt33_Vth_10x0.35_,(V)
44,6.21,7.09,8.71,11195,7.426441849,0.1834140817,6.8151801014,0.26915347920000005,4.9808506655,IONN33L,HV33_nt33_Ids_10x0.35_,(mA)
45,,,-6.63,11192,-7.839731372,0.5732967887,,,2.1101310794,IOFN33L,HV33_nt33_Log10(Ioff)_10x0.35_,(log(A))
46,31.4,40.7,48.9,11177,38.035416928000004,5.860615574800001,1.4930172246000002,0.3045237797,1.0383579762000001,R-TMA,RES_MT_RS_0.8x1000_,(ohm)
47,-0.5720000000000001,-0.49700000000000005,-0.4,11195,-0.49063217299999995,0.023547455,3.6521993607999996,0.0740444966,3.3817740976999997,VTHP33S,HV33_pts33_Vth_10x0.35_,(V)
48,-3.51,-2.8,-2.46,11194,-2.8494304539999997,0.0957444443,5.4833468811,0.09415324539999999,4.9670719768,IONP33S,HV33_pts33_Ids_10x0.35_,(mA)
49,,,-9.13,11133,-11.17831462,0.2387332827,,,8.5799290262,IOFP33S,HV33_pts33_Log10(Ioff)_10x0.35_,(log(A))
50,-0.369,-0.271,-0.192,11194,-0.237421391,0.0177532085,4.9850144074000005,0.3794193116,3.0936036727,VTHP33L,HV33_pt33_Vth_10x0.35_,(V)
51,-4.38,-3.5,-3.13,11193,-3.68643353,0.10322757619999999,6.0545836973,0.2982936478,4.248539840299999,IONP33L,HV33_pt33_Ids_10x0.35_,(mA)
52,,,-7.82,11194,-8.95842681,0.2196091854,,,5.1838761102,IOFP33L,HV33_pt33_Log10(Ioff)_10x0.35_,(log(A))
53,512300.0,912300.0,1512300.0,11178,930607.61439,158422.10131,3.1561252872,0.036615228799999996,3.0405630377999997,RCP-LAA,VIA_poly_R_1x20000_,(ohm)
54,823480.0,1323480.0,2523480.0,11188,1332475.8938,201423.72933,4.2199595988,0.010583404499999999,4.1752980595,RCFL-LAA,VIA_diff_R_1x20000_,(ohm)
55,0.242,0.33,0.40700000000000003,11196,0.3233062853,0.047065905400000004,1.7528612127,0.08113593599999999,1.6106411775,VTCNUV,LV_nz_Vtc_0.5x0.2_Iso,(V)
56,0.469,0.631,0.785,11196,0.5736716059,0.0890714985,1.773855864,0.3628379371,1.1302336615000002,VTCNTRDP,LV_transfer_Vtc_0.2x0.12_,(V)
57,0.033,0.0567,0.0968,11195,0.0701356525,0.0125919333,2.5333679332,0.42118032990000004,1.4663631914,IONNTRDP,LV_transfer_Ids_0.2x0.12_DP,(mA)
58,,,-9.72,11083,-11.27833423,0.8608200625,,,1.8102903212,IOFNTRDP,LV_transfer_Log10(Ioff)_0.2x0.12_,(log(A))
59,7.11,7.71,8.31,11196,7.619208645900001,0.4864781601,1.2333544427,0.1513189234,1.0467245762000001,VTHNFPG2,CELL_Prog75µs_Vtsat_0.2x0.2_,(V)
60,7.08,7.68,8.29,11196,7.5936736334,0.4861162942,1.2445581587,0.1426882092,1.0669743837999999,VTHNFDD,CELL_DrainDist1_Vtsat_0.2x0.2_,(V)
61,1.47,2.57,3.67,11192,2.6443406004,0.8899158645,1.2360719073,0.067582364,1.1525352457,VTHNFER2,CELL_Erase100ms_Vtsat_0.2x0.2_,(V)
62,1.49,2.58,3.66,11195,2.6535596247999997,0.8777274670999999,1.2361468003,0.0677968892,1.1523398925,VTHNFGD2,CELL_GateDist2_Vtsat_0.2x0.2_,(V)
63,0.377,0.47600000000000003,0.56,11196,0.4729129118,0.0179803825,5.0888795139,0.0337386694,4.9171874906,IONNH,HVF_neh_Ids_1x0.6_,(mA)
64,0.396,0.536,0.667,11194,0.5462995676,0.0749090154,1.808861047,0.0760115692,1.6713666803,VTHNH,HVF_neh_Vth_1x0.6_,(V)
65,-50.0,-12.0,-9.0,11196,-17.95949893,0.6435109565,31.856489455,0.29070726480000003,22.59557654,BVNGOX-1,CAP_hvfn_BV_583.2_FieldEdge,(V)
66,138.0,150.0,162.0,11196,151.23093344,6.1917923312,1.9380494949,0.1025777866,1.7392486672999998,C-GN---3a,CAP_hvfnAcc_EOT_500_1MHz@-5V_monitor_only,(Ang)
67,15.8,17.3,18.8,11196,17.388710254,0.506438826,2.9618582207,0.0591401691,2.7866934245999997,BVNGOX-2a,CAP_hvfnAcc_BV_500_Area,(V)
68,0.0015,0.0082,0.0148,11196,0.0088350038,0.0051868172999999995,1.2820964414,0.0954892899,1.1596699626,IONNPA,CELL_P1_Ids_0.2x0.2_,(mA)
69,1.19,1.51,1.83,11194,1.4795488655000002,0.2432029998,1.3157732442,0.0951597954,1.1905645315,VTHNPA,CELL_P1_Vtsat_0.2x0.2_,(V)
70,5.7,,,11195,6.1080080393,0.0853854483,,,4.7784259199,BVDNPA,CELL_P1_BV_0.2x0.2_,(V)
71,-0.32799999999999996,-0.289,-0.254,11196,-0.287591989,0.0147821327,2.5030217676,0.038054348599999996,2.4077709048,IONPH,HVF_peh_Ids_1x0.6_,(mA)
72,-0.6729999999999999,-0.5579999999999999,-0.43200000000000005,11196,-0.574199945,0.0772042611,1.5607946797,0.1344393745,1.3509624193,VTHPH,HVF_peh_Vth_1x0.6_,(V)
73,-50.0,-9.5,-9.0,11195,-10.25549692,0.1260697331,162.60841909,0.036853508199999996,156.61572838,BVDPH,HVF_peh_BV_1x0.6_,(V)
74,138.0,150.0,162.0,11196,150.47501692,4.2784135663,2.8047779426,0.0395847431,2.6937515283999995,C-GP---5a,CAP_hvfpAcc_EOT_500_1MHz@+5V_monitor_only,(Ang)
75,9.0,12.0,50.0,11196,17.508190425,0.5096991767,40.219802064,0.2686922159,29.413054325999997,BVPGOX-1,CAP_hvfp_BV_583.2_FieldEdge,(V)
76,10.5,15.5,21.0,11196,17.957081368,2.7087660791,1.9381518546,0.4680154987,1.0310667478,RSCRS2,RES_CoreSD_RS_10x60.72_,(ohm)
77,-50.0,-12.0,-9.0,11196,-13.83975974,0.33722802490000003,60.789728268999994,0.08974437730000001,55.334191957,BVTN,CAP_TN_BV_._MixedEdge,(V)
78,-13.0,-12.5,-12.0,11188,-12.35478191,0.1560116542,3.2048887792,0.2904361816,2.2740731196,BVTN---3,CAP_TN_BV_1168.2_Area,(V)
79,112.2,124.2,136.2,11194,127.33720055,4.6408656681,2.5857244872,0.2614333789,1.9097297975999998,C-PA-PB1,CAP_ONO1_EOT_1216.4_1MHz,(Ang)
80,-50.0,-12.0,-9.0,11193,-18.62360851,0.4985222598,41.121533884,0.3231028539,27.835048929000003,BVPA-PB2,CAP_ONO2_BV_1216.3744_Area,(V)
81,611.0,1505.0,2399.0,11196,1469.6941497,203.43322314,4.3945624328,0.0394920026,4.2210123619,RSPA,RES_Poly1_R_0.5x60_,(ohm)
82,0.39899999999999997,0.48200000000000004,0.557,11195,0.5014843403,0.018638400700000002,4.2385610895,0.24663721940000002,3.1931741682,IONNNO-1,HVF_nzh_Ids_1x0.75_,(mA)
83,0.126,0.254,0.38299999999999995,11195,0.23822543899999998,0.0660470267,1.9455834177000002,0.1227592293,1.7067450968,VTHNNO-1,HVF_nzh_Vth_1x0.75_,(V)
