R-LAD,RES_M4_RS_0.1x1000_,(ohm),1130,1506,1883,11196,1465.5706502,184.96942629,2.0354715238,0.1073820711,1.816898376,1465.7876706,46.466702993,1.5997380508,0.0841105283
R-LAE,RES_M5_RS_0.1x1000_,(ohm),1130,1506,1883,11196,1477.256413,190.93680099,1.971856646,0.0763441886,1.8213168504,1477.160349,47.03719445,1.6208213435,0.0874658412
RCLAA-LAB,VIA_via1_R_1x12770_,(ohm),6385,63850,127700,11196,25713.32458,5100.210066,11.89313758,0.628721517,4.4156660782,25712.919077,952.30496979,3.1362708788,0.0840461677
RCLAB-LAC,VIA_via2_R_1x12770_,(ohm),6385,63850,127700,11195,27442.380974,7331.7510754,8.273262332,0.6002162804,3.3075155886,27442.556019,958.75160476,3.3171600389,0.1371443942
RCLAC-LAD,VIA_via3_R_1x12770_,(ohm),6385,63850,127700,11194,27672.329194,8340.5359012,7.2726142203,0.5964253523,2.935042722,27668.980997,1283.1063365,3.3543218573,0.1481261501
RCLAD-LAE,VIA_via4_R_1x12770_,(ohm),6385,63850,127700,11196,28203.003215,11047.875758,5.4904219897,0.5876766564,2.2638291527,28195.797513,1552.6692188,3.4772314749,0.1636498607
R-PN,RES_N+Poly_RS_5x50_,(ohm),110,150,200,11195,159.57987405,11.679509287,3.8529015983,0.21288609,3.0326724418,159.58792332,2.4276301994,0.4796684883,0.0560240153
R-LBA,RES_M7_RS_0.2x1000_,(ohm),248,310,372,11196,302.70995534,32.709458286,1.8954762093,0.1175813655,1.6726035284,302.74097775,6.7184048508,0.897526444,0.1530199202
R-LCA,RES_M10_RS_0.4x1000_,(ohm),48.9,61.2,73.4,11193,56.390022782,3.7965712129,3.2265956077,0.3926512015,1.9596689657,56.389070284,0.9412858888,-0.097470813,0.1162338023
RCLAX-LBA,VIA_via6_R_1x4424_,(ohm),885,7078,26544,11196,3017.737567,367.06159787,34.951899285,0.3164786183,23.890370493,3017.4909569,52.149873725,2.0298910641,0.093030937
RCLBX-LCA,VIA_via9_R_1x1132_,(ohm),113,679,2377,11196,599.57713112,89.087454964,12.706615095,0.0701615449,11.815099349,599.65947465,18.483315604,1.3420756824,0.1039379869
RCLCX-TMA,VIA_tvia_R_1x476_,(ohm),71.4,714,2380,11196,590.33941497,56.268847776,20.514015225,0.1071303691,18.316341203,590.36903999,13.242398865,1.0914259625,0.1318379913
R-PP,RES_P+Poly_RS_5x50_,(ohm),130,180,260,11196,186.93324044,18.577089004,3.4989335513,0.1066652376,3.1257189727,186.93782166,3.449925477,0.7004050755,0.0776609876
R-PPSW,RES_P+Unsil_RS_5x50_,(ohm),4320,4800,5280,11193,4820.0821496,147.49755913,3.254291141,0.0418378116,3.1181387214,4820.1182983,38.947385249,1.4566416928,0.1065599419
VTHN33S,HV33_nts33_Vth_10x0.35_,(V),0.398,0.478,0.605,11194,0.4610342371,0.0396687464,2.6091069028,0.1639204146,2.1814210176,0.4610682201,0.008389055,-1.990608503,0.0440746893
IONN33S,HV33_nts33_Ids_10x0.35_,(mA),5,5.75,6.95,11194,6.1940912096,0.1946835047,5.0081284563,0.4554781637,2.7270353036,6.1939127284,0.0528857745,-1.426853695,0.0735781113
IOFN33S,HV33_nts33_Log10(Ioff)_10x0.35_,(log(A)),-,-,-8.83,11169,-11.51086643,0.492224422,-,-,5.4464311693,-11.51124302,0.1327819803,-1.026003831,0.0912342066
VTHN33L,HV33_nt33_Vth_10x0.35_,(V),0.05,0.18,0.323,11195,0.1452015382,0.0435930321,3.1312343588,0.2549337862,2.3329769283,0.1452178567,0.0095472103,-1.960627276,0.0452539877
IONN33L,HV33_nt33_Ids_10x0.35_,(mA),6.21,7.09,8.71,11195,7.426441849,0.1834140817,6.8151801014,0.2691534792,4.9808506655,7.4263734382,0.0477521334,-1.423356775,0.0724020931
